time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),precipitation_sum (inch),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h)
7/25/2015,97.3,70.5,95.1,67.1,0,0,10,19.7
7/26/2015,96.4,68.5,94.4,66.6,0,0,10,21.5
7/27/2015,96.8,68.4,93.8,66,0,0,7.4,20.8
7/28/2015,103.2,70.8,101.2,69.1,0,0,7.1,18.1
7/29/2015,108,72.9,106.7,70.7,0,0,6.3,16.1
7/30/2015,104.7,78.7,102.5,76.6,0,0,6.4,21
7/31/2015,101.4,79,101.5,78.3,0,0,13,20.6
8/1/2015,99.8,73.6,99.6,73,0,0,10,22.8
8/2/2015,99.2,73.7,99,72.3,0,0,9.8,22.1
8/3/2015,97.4,70.4,97.2,69.5,0,0,10.1,22.6
8/4/2015,90.5,67.1,89.2,66,0,0,9.8,19.7
8/5/2015,92.6,66.8,91.8,65.3,0,0,7.6,17.2
8/6/2015,94.1,73.1,91.6,72.1,0,0,5.4,15
8/7/2015,94.8,70.6,95.5,70.4,0,0,9.5,16.8
8/8/2015,94.9,69.3,94.9,69.2,0,0,8,19.7
8/9/2015,97.5,69.1,96.5,68.2,0,0,8.7,18.6
8/10/2015,95.5,70.7,93.6,71,0,0,10.8,23.3
8/11/2015,94,67.4,92.8,66.1,0,0,8.9,19.2
8/12/2015,96.7,67.7,95.9,66.2,0,0,8.4,17.9
8/13/2015,98.4,68.4,97.2,67.4,0,0,9.9,21.5
8/14/2015,95.5,67.5,94.4,64,0,0,10.3,20.6
8/15/2015,101.5,69,100.7,67.6,0,0,6.7,16.8
8/16/2015,106.6,75,103.7,72.2,0,0,6.9,16.3
8/17/2015,106.9,75.6,105,72.9,0,0,7.3,17.4
8/18/2015,102.2,75.4,100,73.5,0,0,7.2,20.1
8/19/2015,99,71.7,97.6,70,0,0,8.3,19.2
8/20/2015,95.8,68.3,94.2,67.2,0,0,7.3,17.2
8/21/2015,95.4,68,94.9,67.6,0,0,7.1,17.4
8/22/2015,96.5,67.7,96.7,67.9,0,0,6.8,14.1
8/23/2015,97.9,70,97.7,70.2,0,0,7.6,17.7
8/24/2015,98.7,70.3,98.4,69.8,0,0,6.8,19.7
8/25/2015,101.8,70.4,101.1,69.2,0,0,6.1,18.6
8/26/2015,101.8,73.1,100,71.8,0,0,9,20.8
8/27/2015,103.2,73.2,101,71.4,0,0,7.8,19.2
8/28/2015,105.1,74.5,104.8,73.2,0,0,7.6,15.9
8/29/2015,96.1,73.1,96.2,72.9,0,0,12.3,24.8
8/30/2015,91.2,67,88.1,64.3,0,0,11.7,23.9
8/31/2015,93.6,65.5,91.5,64.7,0,0,7.6,17.4
9/1/2015,97.4,65.2,96.1,63.4,0,0,7,15
9/2/2015,93.1,67,92.2,66,0,0,10.3,22.1
9/3/2015,89,65.2,87.4,64.1,0,0,8.5,19.7
9/4/2015,88.9,63.9,87.4,62,0,0,9.5,21.5
9/5/2015,87.2,60,83,56.8,0,0,7.1,19.7
9/6/2015,92.6,61.6,88.3,56.8,0,0,6,17
9/7/2015,97.6,62.3,93.7,57.9,0,0,6.2,14.8
9/8/2015,102.3,63.7,98.3,59.1,0,0,5.7,17
9/9/2015,105.1,71.4,101.9,67.1,0,0,6.9,15.7
9/10/2015,104.7,72.4,102.3,70.2,0,0,7.2,16.1
9/11/2015,105.2,75.4,102.8,72.6,0,0,7.4,17.9
9/12/2015,98.5,71.4,94.5,68.1,0,0,11,24.6
9/13/2015,98.2,73.5,95.1,70.7,0,0,6.3,14.5
9/14/2015,83.2,73.5,82.4,71.1,0.055,0.055,6,19.9
9/15/2015,82.9,67.3,83.7,61.6,0,0,12.6,24.4
9/16/2015,80.8,59.5,76.7,54.9,0,0,9.8,22.6
9/17/2015,82.3,60.1,80.2,57.4,0,0,9.1,21.7
9/18/2015,88.7,60.7,87.1,58.8,0,0,6.2,17.9
9/19/2015,95.5,60.6,93.4,58.6,0,0,5.9,14.3
9/20/2015,102.7,66.5,99.9,63.6,0,0,6.7,16.8
9/21/2015,101.8,70.7,98,68.5,0,0,8.7,20.1
9/22/2015,98,69.1,97.2,67.1,0,0,8.8,18.3
9/23/2015,93.1,65,88.6,62.9,0,0,7.6,19.7
9/24/2015,97.2,64.8,94.4,61.9,0,0,7.5,13.6
9/25/2015,100.6,68,98,65.7,0,0,7.9,15.2
9/26/2015,97.9,69.6,94.8,66.6,0,0,7.2,18.8
9/27/2015,95.9,70.9,94.1,69.5,0,0,5.4,12.5
9/28/2015,91.3,70.7,87.5,69.4,0,0,7.1,17.4
9/29/2015,86.2,67.4,82.3,65.8,0,0,8.9,20.1
9/30/2015,83,65.5,77.4,63.2,0,0,9.2,21.7
10/1/2015,80.8,64.6,78.3,62.8,0.063,0.063,9.3,19.9
10/2/2015,82.5,60.3,82.8,60.2,0,0,8.1,17.4
10/3/2015,88,59.9,87.5,57.4,0,0,9.6,20.4
10/4/2015,75.6,54.2,73.3,52.8,0.028,0.028,7.7,19.7
10/5/2015,81.5,57.1,80,54.2,0,0,5.4,14.8
10/6/2015,84.4,59.5,83,56.6,0,0,5.3,13.4
10/7/2015,87,60.3,86.4,59.8,0,0,5.3,13.2
10/8/2015,91.3,67.1,89.8,66.7,0,0,6.1,14.8
10/9/2015,94,66.9,92.6,66.2,0,0,6.8,14.1
10/10/2015,97.7,65.5,96.8,63.3,0,0,8.3,14.8
10/11/2015,93.6,66.5,92.3,66.4,0,0,6.7,14.3
10/12/2015,96.4,64,93.9,63.4,0,0,5.3,13.6
10/13/2015,97.2,67.4,94.8,65.3,0,0,5,12.5
10/14/2015,91.8,66.8,89,64.9,0,0,4.7,11.6
10/15/2015,90.7,66,88.4,65.7,0,0,8.1,17.2
10/16/2015,88.2,66.6,88.8,69.6,0.012,0.012,4.9,13
10/17/2015,81.3,66.1,81.3,65.8,0.016,0.016,9.5,19.2
10/18/2015,74.5,60.1,71.8,59.9,0.366,0.366,11.3,20.4
10/19/2015,75.4,57.7,71.6,56.1,0,0,7.9,19.2
10/20/2015,78.1,58.7,76.9,58.3,0,0,5,15.2
10/21/2015,81.5,54.4,79.7,52.1,0,0,4.7,11.4
10/22/2015,83.6,57.2,80.9,55.4,0,0,5.9,11
