OutDatetime,InDatetime,Name,Voltage,DurationMin,OutageType,Cause,ResponsibleSystem,intprt,District,ID
01/14/2024 01:38,01/14/2024 02:17,Berrydale CLP: Central Linc PUD 115kV Feeder 1,115.0,39,Auto,Forced (Configuration),BPA,Unknown,EUG,225512
01/14/2024 01:38,01/14/2024 02:17,Wendson: Central Linc PUD 115kV Feeder 1,115.0,39,Auto,Forced (Configuration),BPA,Unknown,EUG,225516
01/14/2024 01:38,01/14/2024 02:27,Mapleton: Blachly-Lane Co 34.5kV Feeder 1,34.5,49,Auto,Forced (Configuration),BPA,Unknown,EUG,225517
01/14/2024 01:38,01/14/2024 02:27,Mapleton: Central Linc PUD 12.5kV Feeder 1,12.5,49,Auto,Forced (Configuration),BPA,Unknown,EUG,225518
01/14/2024 01:38,01/14/2024 02:23,Gardiner: Central Linc PUD 13.8kV Feeder 1,13.8,45,Auto,Forced (Configuration),BPA,Unknown,EUG,225521
01/14/2024 01:38,01/14/2024 02:23,Gardiner: Douglas Elec Coop 13.8kV Feeder 1,13.8,45,Auto,Forced (Configuration),BPA,Unknown,EUG,225522
01/14/2024 01:38,01/14/2024 02:23,Gardiner: Douglas Elec Coop 13.8kV Feeder 2,13.8,45,Auto,Forced (Configuration),BPA,Unknown,EUG,225523
01/14/2024 01:38,01/14/2024 02:46,Glasgow: Central Linc PUD 115kV Feeder 1,115.0,68,Auto,Forced (Configuration),BPA,Unknown,EUG,225526
01/14/2024 01:38,01/14/2024 02:43,Hauser: Central Linc PUD 115kV Feeder 1,115.0,65,Auto,Forced (Configuration),BPA,Unknown,EUG,225527
01/14/2024 01:38,01/14/2024 02:43,Lakeside CLP: Central Linc PUD 115kV Feeder 1,115.0,65,Auto,Forced (Configuration),BPA,Unknown,EUG,225528
01/14/2024 01:38,01/14/2024 02:46,Sumner: Coos-Curry Coop 115kV Feeder 1,115.0,68,Auto,Forced (Configuration),BPA,Unknown,EUG,225529
01/14/2024 01:38,01/14/2024 02:21,Reedsport: Central Linc PUD 115kV Feeder 1,115.0,43,Auto,Forced (Configuration),BPA,Unknown,EUG,225531
01/14/2024 01:38,01/14/2024 02:24,Reedsport: Douglas Elec Coop 12.5kV Feeder 1,12.5,46,Auto,Forced (Configuration),BPA,Unknown,EUG,225532
01/14/2024 10:20,01/14/2024 10:24,Fort Rock: Midstate E Coop 115kV Feeder 1,115.0,4,Auto,Weather,BPA,Unknown,RED,225539
01/14/2024 10:30,01/14/2024 10:34,Fort Rock: Midstate E Coop 115kV Feeder 1,115.0,4,Auto,Weather,BPA,Unknown,RED,225540
01/14/2024 15:58,01/14/2024 18:40,Harrisburg: Consumers Power 115kV Feeder 1 to Greenberry,115.0,162,Auto,Ice,Customer,Unknown,EUG,225543
01/15/2024 08:53,01/15/2024 12:00,Eugene: Lane Elec Coop 34.5kV Feeder 1,34.5,187,Auto,Unknown,Customer,Unknown,EUG,225547
01/15/2024 11:13,01/15/2024 21:12,Burnt Woods: Consumers Power 24.9kV Feeder 1,24.9,599,Auto,Terminal Equipment Failure,BPA,Unknown,EUG,225548
01/15/2024 13:03,01/16/2024 17:01,Mapleton: Blachly-Lane Co 34.5kV Feeder 1,34.5,1678,Auto,Tree Blown,Customer,Unknown,EUG,225561
01/16/2024 11:38,01/16/2024 11:38,Mt. Vernon: Sprngfld Util Brd 115kV Feeder 1,115.0,0,Auto,Unknown,BPA,Unknown,EUG,225564
01/16/2024 11:51,01/18/2024 20:31,Mt. Vernon: Sprngfld Util Brd 115kV Feeder 1,115.0,3400,Auto,Unknown,BPA,Unknown,EUG,225565
01/16/2024 14:45,01/17/2024 09:38,Eugene: Lane Elec Coop 34.5kV Feeder 1,34.5,1133,Auto,Unknown,Customer,Unknown,EUG,225567
01/16/2024 15:02,01/16/2024 19:45,Alvey: Sprngfld Util Brd 115kV Feeder 1 to Springfield,115.0,283,Auto,Ice,Customer,Unknown,EUG,225568
01/16/2024 15:30,01/16/2024 16:26,Drain: Douglas Elec Coop 12.5kV Feeder 1,12.5,56,Auto,Unknown,BPA,Unknown,EUG,225570
01/16/2024 15:30,01/16/2024 16:26,Green Valley: Douglas Elec Coop 69kV Feeder 1,69.0,56,Auto,Unknown,BPA,Unknown,EUG,225571
01/16/2024 15:30,01/16/2024 16:26,Drain: Drain OR 12.5kV Feeder 1,12.5,56,Auto,Unknown,BPA,Unknown,EUG,225572
01/16/2024 16:03,01/16/2024 17:15,Parker: Blachly-Lane Co 115kV Feeder 1,115.0,72,Auto,Frequency,BPA,Unknown,EUG,225574
01/16/2024 16:03,01/16/2024 17:15,Alderwood: Blachly-Lane Co 12.5kV Feeder 1,12.5,72,Auto,Voltage,BPA,Unknown,EUG,225575
01/16/2024 16:03,01/16/2024 17:15,Cheshire: Emerald PUD 115kV Feeder 1,115.0,72,Auto,Frequency,BPA,Unknown,EUG,225576
01/16/2024 16:03,01/16/2024 17:15,Cheshire: Emerald PUD 115kV Feeder 2,115.0,72,Auto,Frequency,BPA,Unknown,EUG,225577
01/16/2024 16:52,01/17/2024 00:20,Warren: West Oregon Elec 34.5kV Feeder 1,34.5,448,Auto,Weather,Customer,Unknown,LGV,225580
01/16/2024 19:05,01/16/2024 19:26,Creswell: Emerald PUD 115kV Feeder 1 by PacifiCorp (PACW),115.0,21,Auto,Weather,BPA,Unknown,EUG,225582
01/16/2024 22:26,01/17/2024 02:17,Harrisburg: Consumers Power 115kV Feeder 1 to Greenberry,115.0,231,Auto,Ice,Customer,Unknown,EUG,225583
01/16/2024 23:18,01/18/2024 16:31,Creswell: Emerald PUD 115kV Feeder 1 by PacifiCorp (PACW),115.0,2473,Auto,Weather,BPA,Unknown,EUG,225587
01/16/2024 23:35,01/17/2024 00:29,Parker: Blachly-Lane Co 115kV Feeder 1,115.0,54,Auto,Weather,BPA,Unknown,EUG,225588
01/16/2024 23:35,01/17/2024 00:29,Alderwood: Blachly-Lane Co 12.5kV Feeder 1,12.5,54,Auto,Ice,BPA,Unknown,EUG,225589
01/16/2024 23:35,01/17/2024 00:29,Cheshire: Emerald PUD 115kV Feeder 1,115.0,54,Auto,Weather,BPA,Unknown,EUG,225590
01/16/2024 23:35,01/17/2024 00:29,Cheshire: Emerald PUD 115kV Feeder 2,115.0,54,Auto,Weather,BPA,Unknown,EUG,225591
01/16/2024 23:59,01/17/2024 15:27,Blue River: Lane Elec Coop 115kV Feeder 1,115.0,928,Auto,Weather,BPA,Unknown,EUG,225594
01/17/2024 02:42,01/17/2024 02:42,Bandon: PacifiCorp (PACW) 12.5kV Feeder 1,12.5,0,Auto,Weather,BPA,Unknown,EUG,225596
01/17/2024 03:00,01/17/2024 20:04,Walton: Blachly-Lane Co 12.5kV Feeder 1,12.5,1024,Auto,Ice,Customer,Unknown,EUG,225599
01/17/2024 07:41,01/17/2024 17:58,St Johns: PacifiCorp (PACW) 57kV Feeder 1 to Knott,57.0,617,Auto,Weather,Customer,Unknown,LGV,225600
01/17/2024 10:52,01/17/2024 10:52,Bandon: PacifiCorp (PACW) 12.5kV Feeder 1,12.5,0,Auto,Weather,Customer,Unknown,EUG,225601
01/18/2024 03:11,01/18/2024 03:13,Hay Mill: Rupert ID 138kV Feeder 1,138.0,2,Auto,Unknown,BPA,Unknown,IDF,225608
01/18/2024 03:11,01/18/2024 03:13,Hay Mill: United Elec Coop 138kV Feeder 1,138.0,2,Auto,Unknown,BPA,Unknown,IDF,225609
01/18/2024 10:21,01/18/2024 23:20,Tanner: Tanner Elec 115kV Feeder 1 by Puget Sound Energ,115.0,779,Auto,Tree,Transferor,Unknown,COV,225611
01/18/2024 14:16,01/18/2024 14:41,Bald Mountain: Klickitat Co PUD 69kV Feeder 1,69.0,25,Auto,Weather,BPA,Unknown,TDA,225612
01/18/2024 14:16,01/18/2024 14:41,Bald Mountain: PacifiCorp (PACW) 69kV Feeder 1,69.0,25,Auto,Weather,BPA,Unknown,TDA,225613
01/18/2024 14:16,01/18/2024 14:36,Carson: Skamania Co PUD 115kV Feeder 1,115.0,20,Auto,Weather,BPA,Unknown,LGV,225614
01/18/2024 14:16,01/18/2024 14:36,North Bonneville: Skamania Co PUD 115kV Feeder 1,115.0,20,Auto,Weather,BPA,Unknown,LGV,225615
01/18/2024 14:16,01/18/2024 14:36,Stevenson: Skamania Co PUD 115kV Feeder 1,115.0,20,Auto,Weather,BPA,Unknown,LGV,225616
01/18/2024 14:16,01/18/2024 14:36,Underwood: Skamania Co PUD 115kV Feeder 1,115.0,20,Auto,Weather,BPA,Unknown,LGV,225617
